StudentPerformance-dataset
Hours_Studied,Attendance,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Family_Income,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Exam_Score
21,61,Medium,No,7,58,Medium,Medium,Public,Negative,3,No,60
26,65,Low,No,7,74,Medium,Low,Public,Negative,4,No,65
23,86,Medium,No,8,91,Medium,Low,Public,Negative,0,No,67
21,83,Low,No,5,75,Low,Medium,Public,Negative,4,No,66
26,82,High,No,7,60,Medium,Low,Public,Neutral,3,No,68
4,61,High,Yes,7,71,High,Low,Public,Positive,1,No,58
24,79,High,Yes,5,88,Medium,Medium,Public,Neutral,3,No,67
16,97,Medium,Yes,8,57,Low,Medium,Public,Positive,4,Yes,68
9,76,Medium,Yes,7,79,Medium,Low,Public,Neutral,3,No,62
23,85,High,No,7,98,High,Low,Public,Negative,3,No,69
28,91,High,Yes,6,69,High,Medium,Private,Neutral,4,No,73
19,91,Low,No,6,52,Medium,Low,Public,Negative,4,Yes,66
26,81,Medium,Yes,5,82,Medium,Medium,Public,Negative,5,Yes,67
30,94,Medium,No,8,52,Medium,Medium,Public,Neutral,4,No,71
28,76,Medium,Yes,9,60,Medium,Low,Public,Neutral,2,No,66
30,96,Medium,Yes,10,52,Medium,High,Public,Positive,4,No,74
24,70,High,No,8,59,Low,Low,Public,Positive,5,No,67
20,71,Medium,No,6,93,High,Medium,Public,Negative,2,No,68
10,62,Medium,No,6,87,High,Low,Public,Neutral,3,No,61
19,92,High,No,8,67,Medium,Medium,Private,Negative,2,No,69
15,77,Medium,Yes,7,95,Low,Low,Public,Positive,4,No,65
33,69,High,Yes,7,83,Medium,Medium,Public,Neutral,2,No,71
19,69,Low,No,7,72,Medium,Low,Public,Positive,2,No,61
21,96,High,Yes,9,53,Medium,Low,Public,Neutral,3,No,70
23,93,Low,No,6,87,Medium,Medium,Private,Neutral,3,No,70
20,82,High,Yes,9,69,Low,Medium,Public,Positive,3,No,69
30,85,Low,Yes,7,65,High,Low,Public,Negative,3,No,70
16,79,Medium,Yes,6,64,Medium,Low,Public,Positive,4,Yes,67
21,76,Medium,No,6,50,Low,Low,Public,Negative,4,No,63
16,97,Medium,No,7,87,Medium,High,Public,Neutral,3,No,70
12,65,Medium,No,8,57,Medium,High,Private,Positive,5,Yes,61
16,77,High,Yes,6,76,Low,Low,Public,Neutral,1,No,64
20,74,Medium,Yes,8,51,High,Medium,Public,Negative,3,No,65
17,80,Medium,No,6,81,Medium,Medium,Public,Neutral,1,No,65
16,78,Low,Yes,7,68,High,Low,Private,Positive,3,No,66
12,81,High,Yes,5,82,Low,Medium,Public,Positive,3,No,66
20,66,Medium,Yes,8,54,Medium,Medium,Public,Positive,2,No,63
11,81,High,Yes,7,63,Medium,Medium,Public,Neutral,2,No,66
25,70,Medium,Yes,9,56,High,Low,Public,Positive,1,No,64
20,67,Low,No,8,82,Medium,Low,Public,Neutral,4,Yes,65
11,63,Medium,No,7,55,Low,High,Private,Positive,1,No,62
18,91,High,Yes,9,81,High,High,Public,Neutral,5,No,71
15,77,Medium,Yes,8,57,Low,Low,Public,Neutral,2,No,63
22,85,High,No,9,97,High,Medium,Public,Negative,3,No,70
28,89,Low,Yes,6,71,Low,Low,Private,Neutral,4,No,70
9,87,Medium,No,8,56,Medium,Medium,Public,Positive,3,No,65
21,79,High,Yes,8,52,Medium,Low,Public,Neutral,3,Yes,66
19,76,Low,Yes,5,66,Medium,Medium,Private,Positive,4,No,66
24,75,Low,No,9,95,High,Medium,Public,Positive,2,No,68
21,86,High,No,5,57,Medium,Low,Private,Negative,3,No,68
15,80,Medium,Yes,5,90,Medium,Medium,Private,Neutral,3,No,69
18,94,Medium,Yes,4,71,Medium,High,Public,Positive,3,No,71
15,95,Medium,Yes,8,90,Low,Low,Private,Negative,1,No,69
26,67,High,Yes,5,94,Medium,Medium,Public,Positive,2,No,68
20,65,High,Yes,6,100,Medium,Low,Public,Neutral,5,No,67
31,85,Medium,No,8,53,Medium,Low,Public,Positive,3,No,72
20,72,Medium,Yes,7,90,High,Medium,Public,Neutral,3,No,68
16,61,Medium,Yes,6,53,Low,High,Public,Positive,4,Yes,60
11,96,High,No,5,66,High,Low,Public,Neutral,4,No,68
9,69,Medium,Yes,7,82,High,High,Public,Positive,2,No,65
10,97,High,No,8,72,High,Low,Public,Neutral,3,No,67
22,89,Medium,No,8,78,Low,High,Private,Positive,3,No,70
23,91,Low,Yes,10,98,High,Low,Private,Negative,3,No,70
11,68,Medium,No,6,91,Low,Low,Public,Negative,2,No,61
25,69,Low,Yes,5,68,Medium,High,Public,Positive,4,No,68
17,81,High,No,7,80,High,Low,Public,Negative,3,No,67
21,67,High,No,7,52,Medium,Low,Public,Negative,3,Yes,62
30,72,Low,No,7,73,Medium,High,Public,Neutral,4,No,66
25,73,Medium,Yes,6,80,Medium,High,Public,Positive,2,No,69
18,66,High,Yes,4,86,Medium,Medium,Public,Negative,4,No,66
15,68,Medium,Yes,5,95,Medium,High,Public,Negative,5,No,64
7,92,Medium,No,8,64,High,Low,Public,Neutral,4,No,66
16,67,Medium,No,7,95,Low,Medium,Public,Neutral,5,Yes,63
19,61,High,Yes,8,83,Low,Medium,Private,Negative,3,No,62
14,85,Medium,Yes,8,54,Low,High,Private,Negative,4,No,65
19,99,High,No,8,69,Low,High,Private,Negative,2,No,68
20,73,High,Yes,8,74,Low,Low,Private,Negative,4,No,65
19,65,High,Yes,7,68,Low,Low,Public,Neutral,4,No,63
16,83,High,Yes,7,56,Medium,Medium,Public,Negative,2,No,68
21,96,High,Yes,4,78,Low,High,Private,Positive,2,No,72
23,91,Low,No,6,57,Medium,Low,Private,Positive,3,No,69
13,85,Medium,No,6,96,Low,Low,Public,Positive,5,No,66
28,73,Low,Yes,7,93,High,Low,Private,Neutral,3,No,68
19,82,Low,No,6,74,Medium,Medium,Public,Neutral,2,No,64
20,64,Low,Yes,8,53,Low,Low,Public,Positive,2,No,61
24,87,Medium,No,6,78,High,Low,Public,Neutral,2,Yes,67
21,89,Low,Yes,9,80,Medium,Medium,Public,Neutral,3,No,68
26,99,Medium,No,6,94,High,Medium,Public,Positive,3,No,74
22,70,High,Yes,6,53,Medium,Medium,Public,Positive,2,No,67
16,61,High,Yes,6,85,Medium,Medium,Private,Positive,3,No,64
22,82,High,No,6,78,Medium,Medium,Public,Neutral,3,No,69
13,88,Medium,Yes,9,59,Medium,Low,Private,Negative,3,Yes,63
21,92,Medium,No,7,56,Medium,Low,Private,Neutral,4,No,67
20,68,Medium,Yes,7,85,Medium,Medium,Public,Neutral,3,No,65
19,70,Medium,Yes,6,67,Medium,Medium,Public,Positive,4,No,67
19,81,Medium,No,7,100,Medium,Low,Private,Negative,5,No,68
9,73,Low,Yes,7,95,Medium,Low,Private,Negative,3,No,62
17,94,Medium,Yes,7,78,Medium,Low,Public,Neutral,3,No,70
21,79,High,Yes,7,82,Medium,High,Public,Negative,3,No,67
21,92,High,Yes,9,58,Medium,High,Public,Neutral,5,No,89
14,83,Medium,Yes,7,95,Low,Low,Private,Neutral,2,Yes,65
28,91,Medium,Yes,5,73,Medium,Medium,Public,Neutral,2,No,69
15,73,Medium,No,7,76,High,Low,Public,Positive,4,No,64
26,93,Low,No,6,94,Medium,High,Private,Negative,4,No,74
23,71,High,No,8,50,Medium,High,Public,Positive,2,No,64
16,82,High,No,7,75,Medium,Low,Public,Negative,2,No,64
31,69,Low,Yes,9,81,Medium,Medium,Private,Negative,2,No,67
13,79,Low,Yes,6,58,High,Medium,Public,Positive,4,No,63
26,73,Medium,Yes,7,53,Low,Medium,Private,Neutral,5,No,68
26,71,Medium,Yes,5,77,Low,Medium,Public,Neutral,5,No,66
16,99,High,Yes,7,77,High,Low,Public,Neutral,3,Yes,68
28,66,High,No,5,67,Medium,High,Private,Positive,1,No,68
18,91,Medium,No,7,94,Medium,Low,Private,Neutral,2,No,69
22,99,Low,No,7,65,Medium,Low,Public,Neutral,3,No,71
22,61,High,Yes,7,76,Medium,High,Public,Positive,3,No,65
19,88,Medium,Yes,8,59,Medium,Medium,Private,Neutral,4,No,67
25,70,Medium,No,7,51,Medium,High,Public,Negative,4,No,65
25,62,Medium,No,5,71,Medium,Low,Private,Positive,4,No,65
10,76,Low,No,6,76,Medium,High,Public,Negative,2,No,80
28,97,Medium,Yes,7,88,High,Medium,Public,Neutral,2,No,74
10,60,Medium,No,7,72,Low,Medium,Public,Positive,3,No,59
26,84,Medium,No,7,64,Low,High,Public,Neutral,3,No,69
27,80,Low,Yes,9,80,Medium,High,Public,Neutral,2,Yes,66
13,95,Medium,Yes,7,69,Medium,Low,Public,Positive,2,Yes,66
18,63,High,No,8,62,Medium,High,Public,Positive,4,No,65
13,87,Medium,Yes,4,96,Low,Low,Public,Neutral,3,Yes,67
19,87,High,No,8,77,Low,Low,Private,Neutral,4,No,69
18,87,Low,Yes,10,60,High,Medium,Public,Positive,3,No,68
25,98,Medium,Yes,9,84,Medium,Medium,Private,Neutral,2,No,73
28,93,High,Yes,6,90,Medium,Low,Public,Positive,2,Yes,71
28,62,Medium,Yes,10,88,Medium,Low,Public,Positive,2,Yes,67
17,79,Medium,Yes,7,80,Low,High,Public,Positive,3,No,67
19,76,Low,No,7,76,Medium,High,Public,Neutral,2,No,66
10,72,Low,No,7,89,Medium,Medium,Public,Negative,4,No,63
15,78,High,No,7,85,Medium,High,Public,Negative,1,No,65
26,75,Low,Yes,4,79,Medium,High,Public,Negative,1,No,67
30,77,Low,Yes,8,83,Medium,Low,Public,Positive,3,No,69
13,99,Medium,Yes,7,58,Medium,Low,Public,Neutral,2,No,67
16,64,Medium,Yes,7,51,High,High,Public,Neutral,3,No,66
20,97,High,Yes,7,97,Low,Medium,Private,Neutral,4,No,74
22,79,Medium,No,6,97,Medium,High,Public,Positive,2,No,69
15,85,Medium,Yes,7,89,High,Medium,Public,Negative,4,No,66
23,93,Low,Yes,9,69,Low,Medium,Private,Positive,3,Yes,69
17,74,Medium,Yes,8,58,Low,High,Public,Neutral,2,No,63
20,77,Low,Yes,7,68,Medium,Medium,Private,Positive,3,No,65
23,76,Medium,No,7,86,Low,Low,Private,Positive,4,No,64
20,75,Medium,No,7,67,High,Medium,Private,Neutral,4,No,64
17,97,High,Yes,6,90,Low,Medium,Public,Negative,2,No,69
19,93,High,No,7,84,Medium,Low,Public,Negative,3,No,73
19,64,Medium,Yes,8,81,High,Medium,Public,Negative,3,Yes,62
18,64,Low,Yes,7,97,Low,Medium,Private,Neutral,4,No,62
18,77,Medium,Yes,6,95,High,Medium,Private,Positive,2,No,68
30,64,Medium,No,7,86,Low,Medium,Private,Positive,3,No,66
23,85,High,Yes,8,60,High,Medium,Public,Positive,1,Yes,68
18,66,High,Yes,5,97,Medium,Medium,Public,Neutral,4,No,66
24,81,Medium,Yes,6,61,Low,Medium,Public,Positive,3,No,69
18,60,Medium,Yes,5,69,Medium,Medium,Public,Neutral,2,No,62
27,73,Medium,No,7,91,Medium,High,Public,Neutral,4,No,68
22,87,Medium,No,8,60,Low,Medium,Public,Negative,2,No,67
19,79,Medium,No,9,82,Medium,Low,Private,Neutral,4,No,65
23,99,Medium,No,9,73,Medium,Low,Public,Negative,4,No,69
11,95,Medium,No,6,81,High,Low,Public,Positive,3,No,67
13,74,Low,Yes,7,98,High,Medium,Public,Positive,3,No,64
13,62,Medium,Yes,6,90,Medium,High,Private,Neutral,3,Yes,62
21,94,Medium,Yes,9,65,Low,High,Private,Neutral,3,Yes,71
30,96,High,Yes,9,53,Medium,Medium,Private,Neutral,3,No,72
33,93,High,Yes,7,98,Low,Medium,Public,Negative,2,Yes,74
24,65,High,No,6,79,Low,Medium,Public,Neutral,2,No,66
23,100,Low,Yes,4,59,Medium,Medium,Public,Positive,4,No,72
9,70,Medium,No,5,81,Medium,High,Private,Neutral,4,No,65
17,89,Medium,Yes,4,52,High,Low,Public,Positive,3,No,67
15,96,High,Yes,5,59,High,Medium,Private,Neutral,2,No,70
16,69,Medium,Yes,10,82,Medium,Low,Public,Negative,1,Yes,62
19,96,Low,Yes,5,70,High,Low,Public,Positive,2,No,66
17,72,Medium,Yes,5,66,Medium,High,Public,Negative,3,No,65
8,99,High,Yes,6,83,High,Medium,Public,Positive,4,Yes,70
24,71,High,Yes,10,93,Low,Medium,Private,Positive,2,Yes,69
14,98,Medium,Yes,7,84,Low,High,Public,Neutral,3,No,70
21,62,High,No,8,73,Medium,High,Private,Negative,2,No,66
32,88,Low,Yes,7,83,Low,Low,Private,Positive,4,No,73
14,81,Medium,No,4,85,Low,Medium,Public,Positive,4,No,69
5,79,High,Yes,9,89,Low,Medium,Private,Neutral,3,No,66
18,69,Medium,Yes,8,65,Medium,Medium,Public,Neutral,4,No,65
27,88,Low,No,7,56,High,Low,Public,Neutral,4,No,70
32,68,High,No,10,84,Medium,Medium,Private,Positive,2,No,70
13,82,Medium,No,6,56,High,Low,Public,Neutral,4,No,67
23,70,High,Yes,7,73,High,Low,Private,Positive,3,No,68
17,98,Low,Yes,6,62,Low,Medium,Private,Neutral,2,No,68
19,61,Medium,No,9,67,Medium,Low,Public,Negative,2,No,61
36,68,Medium,Yes,8,74,High,Medium,Public,Negative,3,No,70
11,70,High,No,7,95,High,Low,Public,Negative,5,No,65
22,77,Medium,Yes,5,84,Medium,High,Public,Positive,2,No,66
23,69,Medium,Yes,6,59,Medium,High,Public,Neutral,3,No,67
27,80,Low,Yes,5,94,High,High,Public,Negative,3,No,69
21,95,High,No,9,75,Medium,Low,Public,Neutral,2,No,69
22,88,Medium,Yes,5,60,Low,Low,Public,Neutral,2,No,67
18,83,Low,No,9,76,Medium,Medium,Private,Neutral,4,No,66
22,64,Medium,Yes,9,60,Medium,High,Private,Neutral,2,No,63
18,88,Medium,No,6,68,Low,Medium,Public,Neutral,4,No,67
24,67,Low,Yes,6,90,Medium,Low,Public,Neutral,1,No,64
18,91,Low,No,6,83,Medium,Low,Private,Neutral,4,No,68
22,70,High,Yes,8,74,Low,Low,Public,Negative,2,No,65
20,77,Low,No,9,61,Medium,Medium,Public,Neutral,3,No,65
27,74,Low,Yes,9,64,High,Low,Public,Neutral,3,No,65
20,94,Medium,Yes,6,99,Medium,Medium,Public,Negative,4,No,70
9,65,High,Yes,9,67,Medium,High,Public,Neutral,3,No,62
28,83,Low,No,9,81,Medium,Low,Public,Neutral,4,No,68
15,66,High,Yes,7,75,Low,High,Public,Negative,3,No,62
16,88,High,Yes,7,51,Medium,Medium,Public,Positive,3,No,68
16,96,Medium,Yes,9,97,Medium,Medium,Private,Neutral,5,No,72
28,77,Medium,Yes,9,54,Low,High,Public,Positive,3,No,70
7,80,Medium,No,9,83,Low,Medium,Public,Neutral,3,No,62
39,97,High,Yes,10,91,Medium,Low,Public,Positive,3,No,79
26,81,High,Yes,8,87,Medium,High,Public,Neutral,1,No,73
21,80,High,Yes,7,90,High,Low,Public,Negative,2,No,68
20,83,Medium,Yes,9,87,Low,High,Public,Neutral,2,No,68
22,88,Medium,Yes,10,72,Medium,Low,Public,Neutral,2,No,69
23,64,Low,Yes,6,95,High,Low,Public,Positive,2,Yes,63
24,93,Medium,Yes,7,96,Medium,High,Public,Negative,4,No,74
23,77,Medium,Yes,5,72,Medium,High,Public,Negative,5,No,69
21,63,Low,No,8,74,Medium,Low,Public,Negative,3,No,61
19,91,Low,Yes,8,74,Low,Medium,Public,Neutral,2,Yes,69
19,75,Low,No,6,64,High,Low,Public,Neutral,3,No,64
19,64,Medium,Yes,9,56,Low,Low,Public,Positive,4,No,63
27,85,High,No,6,63,Low,Low,Public,Negative,2,No,68
24,95,Medium,Yes,6,92,Medium,Low,Public,Neutral,3,No,72
2,96,High,Yes,9,77,Medium,Medium,Public,Neutral,2,No,65
24,98,Low,No,6,93,Low,Low,Public,Positive,4,No,69
21,95,Low,No,5,87,Low,Medium,Private,Neutral,4,No,70
20,60,Medium,Yes,8,67,Low,Medium,Public,Neutral,4,No,63
18,75,Medium,Yes,7,59,Low,Medium,Public,Positive,2,Yes,62
27,93,Medium,Yes,9,78,Low,Low,Public,Positive,2,No,72
26,75,High,No,8,97,Medium,Low,Public,Neutral,4,No,69
15,84,Medium,No,4,92,Low,Medium,Public,Negative,3,No,66
22,84,Medium,Yes,9,88,Medium,Low,Private,Neutral,4,No,71
14,75,Low,No,10,88,Medium,Low,Private,Negative,3,No,62
12,96,Low,Yes,9,76,Medium,Medium,Public,Positive,2,No,68
16,80,Low,No,9,58,Low,Medium,Public,Neutral,2,No,63
25,79,Medium,Yes,7,64,Medium,Low,Public,Neutral,3,No,66
26,100,Medium,Yes,6,79,High,Medium,Public,Positive,3,No,75
23,80,Low,Yes,7,66,High,High,Private,Positive,4,No,69
24,67,Medium,No,8,89,Medium,High,Private,Positive,3,No,68
23,81,Medium,No,8,69,Medium,Medium,Public,Negative,2,No,69
16,93,Low,No,6,56,Medium,Low,Public,Positive,4,No,67
23,91,Medium,Yes,6,89,Medium,Medium,Private,Negative,3,No,73
25,92,High,Yes,5,85,Low,Low,Public,Negative,1,No,71
25,88,Medium,Yes,8,63,Medium,High,Public,Positive,3,No,71
27,70,Medium,No,6,99,High,Low,Private,Neutral,2,No,68
24,94,Low,No,7,70,Medium,High,Public,Neutral,1,No,70
22,96,High,Yes,10,84,Low,High,Public,Negative,3,No,71
26,68,High,No,8,96,High,Medium,Public,Neutral,2,No,69
20,65,Medium,No,7,58,Medium,Low,Private,Neutral,4,No,63
15,99,Medium,Yes,8,94,Medium,Medium,Private,Neutral,3,No,71
19,95,Medium,Yes,9,85,Medium,Low,Public,Negative,3,No,69
16,96,Medium,Yes,5,58,Medium,High,Public,Positive,5,No,71
16,95,Low,No,6,83,Low,Low,Private,Neutral,3,No,68
19,82,Medium,No,7,94,Medium,Medium,Public,Positive,3,No,68
15,86,Low,No,6,90,Medium,Medium,Public,Neutral,3,No,66
18,82,Medium,No,7,88,Medium,Low,Public,Negative,3,No,67
9,62,High,Yes,5,58,Low,Medium,Private,Positive,5,No,59
21,90,Medium,No,8,60,Medium,Low,Public,Negative,2,No,66
20,80,Low,No,6,77,Low,Medium,Private,Negative,3,No,64
15,86,Medium,No,7,79,Medium,Low,Public,Neutral,3,Yes,64
24,80,High,Yes,7,97,Medium,Low,Private,Neutral,4,No,69
26,80,Low,No,8,73,High,Medium,Public,Neutral,3,No,69
10,67,Medium,No,4,65,Medium,Medium,Public,Positive,3,No,61
15,71,High,No,8,60,Medium,Low,Private,Negative,3,No,62
15,66,Medium,No,7,53,Medium,Medium,Public,Negative,3,No,61
14,68,Medium,Yes,8,53,High,Medium,Private,Positive,2,No,63
25,99,Low,No,5,79,Low,Low,Public,Positive,4,No,71
19,66,High,Yes,8,59,Medium,Medium,Public,Positive,2,No,65
18,71,High,Yes,9,93,Medium,Low,Private,Neutral,4,No,68
8,84,High,No,7,80,Medium,High,Public,Positive,4,No,67
24,84,High,Yes,6,93,High,Low,Public,Neutral,1,No,70
13,66,Medium,Yes,6,71,Medium,Medium,Public,Neutral,3,No,64
20,92,High,No,8,80,High,Medium,Private,Neutral,3,No,71
22,91,Medium,Yes,8,76,Low,Medium,Public,Neutral,3,No,71
28,69,High,No,8,99,Low,High,Private,Negative,3,No,67
12,72,Low,Yes,7,90,Medium,High,Public,Positive,3,No,63
2,98,High,Yes,7,80,High,Low,Public,Neutral,1,No,66
21,93,Low,Yes,7,80,Medium,High,Public,Neutral,1,No,70
31,88,Low,No,6,62,Medium,Low,Private,Positive,4,No,70
27,63,Medium,Yes,8,87,Medium,Low,Private,Positive,3,No,67
21,77,Medium,No,7,99,High,Medium,Public,Neutral,3,No,69
17,82,Low,No,9,56,Low,High,Public,Positive,2,No,66
25,67,High,No,9,82,Medium,Medium,Public,Positive,3,No,67
14,78,Medium,Yes,7,76,Medium,High,Public,Negative,2,Yes,65
23,84,High,Yes,8,93,Medium,High,Public,Positive,3,No,72
23,73,High,No,6,50,Medium,Medium,Public,Positive,3,No,68
26,91,Medium,Yes,7,57,Low,Medium,Public,Negative,3,No,72
37,94,Medium,Yes,8,52,High,Low,Private,Positive,3,No,76
22,73,Low,Yes,5,58,Medium,Low,Public,Positive,3,Yes,65
17,94,Medium,No,8,85,Medium,Medium,Public,Positive,4,No,68
20,64,Medium,Yes,6,57,Medium,Low,Public,Neutral,4,No,65
9,94,Medium,Yes,6,81,Low,Low,Public,Positive,3,No,66
16,66,Medium,No,6,93,Medium,Low,Public,Negative,2,No,63
18,63,Low,No,7,52,Medium,High,Public,Positive,3,No,63
17,86,Medium,Yes,5,51,Medium,Low,Private,Neutral,2,No,66
21,79,Low,Yes,8,99,Medium,Low,Public,Positive,4,No,69
15,96,High,Yes,7,84,High,Medium,Public,Positive,1,No,72
27,75,Low,Yes,10,57,Medium,High,Public,Negative,3,No,66
20,71,Medium,Yes,7,65,Medium,Medium,Public,Negative,4,No,64
20,80,Low,Yes,8,99,Low,Low,Private,Positive,3,No,67
18,78,High,Yes,6,61,Low,Low,Private,Positive,5,No,67
21,74,Medium,Yes,5,88,Medium,Medium,Public,Neutral,1,No,66
25,88,Low,Yes,8,62,Low,Low,Public,Neutral,2,No,68
15,90,Medium,No,5,70,Medium,Medium,Private,Neutral,2,No,65
16,94,High,Yes,8,94,High,Low,Private,Negative,3,No,71
18,99,High,Yes,10,51,Medium,Medium,Public,Neutral,4,No,71
12,71,Medium,Yes,8,65,Medium,Medium,Private,Neutral,2,No,62
15,89,High,Yes,8,74,Low,Medium,Public,Positive,2,No,69
17,76,Low,No,7,81,Low,High,Private,Neutral,2,No,65
25,87,Low,No,6,51,Low,Medium,Public,Neutral,3,No,70
22,79,Medium,Yes,7,71,Medium,Low,Private,Neutral,2,No,66
21,100,Medium,No,6,67,Medium,High,Public,Positive,3,No,70
25,89,High,No,5,51,Low,Medium,Private,Negative,2,No,70
19,98,High,Yes,7,68,Medium,Low,Private,Neutral,4,No,69
22,93,Low,Yes,9,97,Medium,Medium,Public,Neutral,3,Yes,71
19,96,Medium,No,5,64,Medium,Medium,Public,Neutral,3,No,69
22,93,Medium,No,9,79,Medium,Medium,Public,Positive,2,No,73
17,78,Medium,Yes,9,65,Low,Medium,Public,Neutral,4,No,65
5,70,High,Yes,8,55,Medium,Low,Public,Neutral,3,No,62
19,75,High,No,8,64,Medium,High,Public,Negative,5,No,67
29,61,Medium,Yes,7,74,High,Medium,Public,Neutral,3,No,65
26,81,Medium,No,7,65,Low,Medium,Public,Neutral,3,No,65
26,80,High,Yes,6,81,Medium,Medium,Public,Neutral,2,No,70
27,81,Medium,Yes,7,97,Low,Medium,Public,Neutral,2,No,70
21,99,High,Yes,7,53,Medium,Medium,Public,Neutral,4,No,71
21,96,Low,No,10,86,Low,Low,Public,Neutral,3,No,71
16,66,Medium,Yes,8,50,Low,Medium,Public,Neutral,4,No,62
18,75,Low,No,7,50,Medium,Low,Public,Positive,2,No,65
24,77,Medium,Yes,7,57,Medium,Medium,Public,Positive,2,No,84
27,74,Medium,Yes,6,74,Medium,Medium,Public,Neutral,2,No,68
19,92,Medium,Yes,6,52,Medium,High,Public,Positive,1,No,70
17,81,High,No,8,86,Medium,Medium,Private,Neutral,3,No,68
20,83,Medium,No,6,51,Medium,Low,Public,Negative,4,No,67
24,94,Medium,Yes,6,75,Low,Low,Public,Negative,4,No,69
11,92,High,Yes,6,84,Medium,Low,Public,Negative,1,No,68
6,65,High,No,6,62,Medium,Low,Public,Neutral,1,No,59
17,89,Low,Yes,9,79,Medium,Medium,Public,Positive,2,No,67
13,77,High,Yes,7,63,Low,High,Public,Positive,1,No,63
17,72,High,Yes,7,61,Low,Medium,Public,Negative,4,No,65
19,62,Medium,No,7,91,Low,Low,Public,Positive,3,No,63
17,79,Medium,No,7,67,Low,Low,Private,Positive,3,No,64
29,74,Medium,Yes,6,91,High,Low,Public,Positive,4,No,72
22,70,Medium,Yes,5,61,High,Low,Public,Negative,3,No,63
22,88,Medium,No,9,68,Medium,Medium,Public,Neutral,2,Yes,66
24,91,Medium,Yes,8,55,Low,Medium,Private,Neutral,2,No,67
13,70,High,Yes,8,75,High,High,Public,Positive,2,Yes,66
26,62,Medium,Yes,8,69,Medium,Medium,Public,Positive,3,No,66
20,94,Medium,Yes,10,50,Low,Low,Private,Negative,4,Yes,68
24,60,High,No,6,73,Medium,Low,Private,Positive,5,No,66
14,97,Medium,Yes,5,54,Medium,Medium,Public,Negative,2,No,68
11,85,Medium,Yes,8,92,Low,Medium,Public,Negative,4,No,65
25,73,Medium,Yes,5,75,Low,Medium,Private,Positive,2,No,67
22,70,Low,No,7,85,Medium,High,Private,Negative,3,No,64
15,60,High,No,7,91,Low,Low,Private,Negative,2,No,59
15,69,Medium,Yes,8,53,Low,High,Private,Negative,3,No,60
27,66,High,No,6,67,Low,High,Public,Negative,4,No,65
13,84,Medium,Yes,9,51,High,Low,Public,Negative,4,No,64
30,67,High,No,6,52,Medium,Low,Public,Neutral,1,No,66
15,81,Medium,Yes,8,52,Medium,Medium,Public,Neutral,2,No,65
24,84,Medium,Yes,6,74,Medium,Medium,Public,Positive,2,No,69
18,72,High,Yes,8,73,Medium,Medium,Private,Positive,4,Yes,66
24,61,Medium,Yes,5,53,Medium,Low,Private,Neutral,5,No,65
17,61,Medium,No,7,63,Low,Medium,Public,Positive,4,No,62
19,61,Low,No,9,62,Medium,Medium,Public,Neutral,2,No,60
20,90,Medium,No,7,65,Low,Low,Public,Positive,4,No,68
14,73,High,Yes,9,82,Medium,Medium,Public,Negative,3,No,64
24,92,High,No,7,85,High,Medium,Public,Positive,3,No,73
17,77,Medium,Yes,6,67,Low,Low,Public,Positive,1,No,64
19,78,High,No,7,89,Medium,Medium,Public,Neutral,4,No,69
14,81,Medium,No,8,71,Low,Low,Public,Neutral,3,Yes,63
5,89,Medium,Yes,4,76,High,Medium,Public,Neutral,3,No,65
19,71,Medium,No,8,57,Medium,Medium,Public,Positive,4,No,65
34,65,Medium,Yes,6,62,High,Medium,Public,Negative,3,No,67
25,82,Medium,Yes,5,86,Medium,Low,Public,Positive,4,No,67
20,73,Medium,No,8,99,Low,Medium,Private,Positive,3,No,66
18,78,High,Yes,9,85,High,Low,Private,Negative,2,No,68
20,86,Low,Yes,7,53,Medium,Low,Public,Negative,2,No,65
23,80,Low,Yes,5,57,Medium,Low,Public,Neutral,4,No,66
13,85,Low,Yes,6,72,Medium,Low,Public,Positive,1,No,66
27,82,Medium,Yes,6,87,Low,Low,Public,Positive,2,No,69
24,90,Medium,No,7,58,Medium,Low,Private,Neutral,2,No,70
24,88,Low,Yes,7,88,Medium,Medium,Private,Neutral,2,No,71
23,81,Medium,No,8,78,High,Low,Public,Positive,3,No,70
20,87,Medium,No,8,89,Low,Medium,Public,Neutral,3,No,68
24,95,High,Yes,8,78,Medium,Low,Public,Negative,2,No,73
24,77,High,No,8,80,High,Low,Public,Positive,2,Yes,68
18,77,Medium,Yes,7,62,Low,High,Private,Neutral,4,No,66
17,91,Low,Yes,10,86,Low,Medium,Public,Neutral,3,Yes,67
21,83,Low,Yes,8,92,Low,Medium,Private,Negative,4,Yes,66
29,63,High,Yes,8,94,Medium,Medium,Private,Positive,2,No,69
13,96,Medium,No,10,51,Medium,Low,Public,Positive,3,No,67
11,61,Low,Yes,7,81,High,Medium,Public,Positive,4,Yes,61
21,90,Medium,No,6,99,Medium,Low,Private,Negative,3,No,70
20,90,High,No,9,79,Medium,Low,Public,Negative,2,No,70
21,98,Medium,Yes,9,59,High,Medium,Public,Neutral,3,Yes,70
21,62,Medium,No,7,94,Low,Low,Private,Positive,3,No,64
19,84,Medium,No,10,63,Medium,Low,Public,Negative,3,No,65
29,77,Medium,No,7,52,Medium,Low,Public,Positive,4,No,70
